EVENTDAYWELLNAME,start_time,end_time,EVENTNAME,EVENTDAYDOWNTIME,EVENTDAYLOSSGAS,EVENTDAYLOSSOIL,EVENTDAYLOSSCONDENSATEFORMATION,GAS RATE,OIL RATE,CONDENSATE RATE,SIBU/NonSIBU,ROOTCAUSEDESCRIPTION
PK-A10:S1,5/24/2004 0:00,5/25/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for construction job
PK-A10:S1,5/25/2004 0:00,5/26/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for construction job
PK-A10:S1,5/26/2004 0:00,5/27/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,SI for construction job
PK-A10:S1,5/27/2004 0:00,5/28/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in for construction job.
PK-A10:S1,5/28/2004 0:00,5/29/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in for construction job.
PK-A10:S1,5/29/2004 0:00,5/30/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in for construction job.
PK-A10:S1,5/30/2004 0:00,5/31/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in for construction job.
PK-A10:S1,5/31/2004 0:00,6/1/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Shut in for PCK-4/2 tie in job.
PK-A11-ST1:S1,6/1/2004 0:00,6/1/2004 8:10,NULL,8.166666667,0,0,0,0,0,0,NonSIBU,PCK4/2 tie in
PK-A1:S1,6/1/2004 0:00,6/2/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,PCK4/2 tie in
PK-A10:S1,6/1/2004 0:00,6/2/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,PCK4/2 tie in
PK-A10:S1,6/2/2004 0:00,6/2/2004 1:00,NULL,1,0,0,0,0,0,0,NonSIBU,Still shut in due to limited by Bontang (BTG train B shut down).
PK-A1:S1,6/2/2004 0:00,6/2/2004 9:33,NULL,9.55,0,0,0,0,0,0,NonSIBU,PCK4/2 tie in
PK-A10:S1,6/2/2004 1:42,6/2/2004 9:00,NULL,7.3,0,0,0,0,0,0,NonSIBU,S/I due to close drain high level by BV. no 178 passing ( drain valve )
PK-A10:S1,6/3/2004 5:05,6/3/2004 5:52,NULL,0.783333333,0,0,0,0,0,0,NonSIBU,choked badak request
PK-A1:S1,6/15/2004 14:20,6/15/2004 18:15,NULL,3.916666667,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A11-ST1:S1,6/15/2004 14:20,6/15/2004 16:58,NULL,2.633333333,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A10:S1,6/15/2004 14:20,6/15/2004 16:23,NULL,2.05,0,0,0,0,0,0,NonSIBU,Choked Bontang
PK-A10:S1,6/16/2004 14:20,6/16/2004 15:22,NULL,1.033333333,0,0,0,0,0,0,NonSIBU,pig stuck @ GOV
PK-A10:S1,6/17/2004 18:50,6/18/2004 0:00,NULL,5.166666667,0,0,0,0,0,0,NonSIBU,"Trouble shooting for pig stuck at PK 30.5 ( Km 45.720), POMAQ Requested"
PK-A10:S1,6/18/2004 0:00,6/18/2004 7:55,NULL,7.916666667,0,0,0,0,0,0,NonSIBU,"Trouble shooting for pig stuck at PK 30.5 ( Km 45.720), POMAQ Requested"
PK-A1:S1,6/19/2004 4:00,6/19/2004 11:45,NULL,7.75,0,0,0,0,0,0,NonSIBU,Trouble shoting for pig stuck
PK-A11-ST1:S1,6/19/2004 6:00,6/19/2004 11:18,NULL,5.3,0,0,0,0,0,0,NonSIBU,Trouble shoting for pig stuck
PK-A10:S1,6/19/2004 6:00,6/19/2004 11:17,NULL,5.283333333,0,0,0,0,0,0,NonSIBU,Trouble shoting for pig stuck
PK-A11-ST1:S1,7/13/2004 0:00,7/13/2004 2:10,NULL,2.166666667,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A1:S1,7/13/2004 0:00,7/13/2004 3:37,NULL,3.616666667,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A10:S1,7/13/2004 0:00,7/13/2004 1:18,NULL,1.3,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A1:S1,7/14/2004 0:00,7/14/2004 12:50,NULL,12.83333333,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A11-ST1:S1,7/14/2004 0:00,7/14/2004 7:46,NULL,7.766666667,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A10:S1,7/14/2004 0:00,7/14/2004 4:22,NULL,4.366666667,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A10:S1,7/14/2004 2:30,7/14/2004 9:09,NULL,6.65,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A11-ST1:S1,7/14/2004 2:30,7/14/2004 12:07,NULL,9.616666667,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A1:S1,7/14/2004 2:30,7/14/2004 20:24,NULL,17.9,0,0,0,0,0,0,NonSIBU,Well choked due to Bontang Limitation.
PK-A10:S1,7/15/2004 0:00,7/15/2004 10:03,NULL,10.05,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A1:S1,7/15/2004 0:00,7/15/2004 7:34,NULL,7.566666667,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A11-ST1:S1,7/15/2004 0:00,7/15/2004 12:06,NULL,12.1,0,0,0,0,0,0,NonSIBU,choked by bontang limit
PK-A10:S1,7/16/2004 0:00,7/16/2004 8:38,NULL,8.633333333,0,0,0,0,0,0,NonSIBU,choked by bnt limit
PK-A1:S1,7/16/2004 0:00,7/16/2004 8:39,NULL,8.65,0,0,0,0,0,0,NonSIBU,choked by bnt limit
PK-A11-ST1:S1,7/16/2004 0:00,7/16/2004 11:16,NULL,11.26666667,0,0,0,0,0,0,NonSIBU,choked by bnt limit
PK-A10:S1,7/17/2004 0:00,7/17/2004 2:56,NULL,2.933333333,0,0,0,0,0,0,NonSIBU,chk by bnt
PK-A1:S1,7/17/2004 0:00,7/17/2004 3:20,NULL,3.333333333,0,0,0,0,0,0,NonSIBU,chk by bnt
PK-A11-ST1:S1,7/17/2004 0:00,7/17/2004 4:09,NULL,4.15,0,0,0,0,0,0,NonSIBU,chk by bnt
PK-A1:S1,7/25/2004 13:00,7/25/2004 13:55,NULL,0.916666667,0,0,0,0,0,0,NonSIBU,S/I as per Bontang requested due to Bontang tank high inventory.
PK-A11-ST1:S1,7/25/2004 13:08,7/25/2004 14:13,NULL,1.083333333,0,0,0,0,0,0,NonSIBU,S/I as per Bontang requested due to Bontang tank high inventory.
PK-A11-ST1:S1,7/25/2004 16:30,7/26/2004 0:00,NULL,7.5,0,0,0,0,0,0,NonSIBU,S/I as per Bontang requested due to Bontang tank high inventory.
PK-A10:S1,7/25/2004 16:30,7/26/2004 0:00,NULL,7.5,0,0,0,0,0,0,NonSIBU,S/I as per Bontang requested due to Bontang tank high inventory.
PK-A1:S1,7/25/2004 22:35,7/26/2004 0:00,NULL,1.416666667,0,0,0,0,0,0,NonSIBU,S/I as per Bontang requested due to Bontang tank high inventory.
PK-A10:S1,7/26/2004 0:00,7/27/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,bnt
PK-A1:S1,7/26/2004 0:00,7/27/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,bnt
